WKT,id,name,alt_name,latitude,longitude
"POINT (106.8230693 -6.2035351)",31.0,DKI JAKARTA,DKI JAKARTA,-6.2035351,106.8230693
"POINT (107.64047 -6.88917)",32.0,JAWA BARAT,JAWA BARAT,-6.88917,107.64047
"POINT (110.00441 -7.30324)",33.0,JAWA TENGAH,JAWA TENGAH,-7.30324,110.00441
"POINT (110.4688144 -7.9413312)",34.0,DI YOGYAKARTA,DI YOGYAKARTA,-7.9413312,110.4688144
"POINT (112.2442111 -7.5463438)",35.0,JAWA TIMUR,JAWA TIMUR,-7.5463438,112.2442111
"POINT (106.13756 -6.44538)",36.0,BANTEN,BANTEN,-6.44538,106.13756
"POINT (115.12239 -8.23566)",51.0,BALI,BALI,-8.23566,115.12239
